id,date,patient_cpf,doctor_crm,doctor_uf,medication,controlled,dosage,frequency,duration,notes
RX0001,2024-12-20,50820680269,385643,CE,Omeprazol,False,250mg,Se necessário,90,Tomar após as refeições.
RX0002,2025-01-28,35191216164,615920,AC,Cimegripe,False,10mg,12/12h,60,Tomar após as refeições.
RX0003,2021-05-15,35393187829,761595,AL,Paracetamol,False,20mg,6/6h,84,Tomar após as refeições.
RX0004,2020-07-29,41034357588,722187,DF,Amoxicilina,False,10ml,8/8h,90,Tomar após as refeições.
RX0005,2023-10-17,49880707659,419303,SC,Omeprazol,False,1g,12/12h,24,Tomar após as refeições.
RX0006,2022-09-03,31093163480,224325,SP,Morfina,True,10mg,Se necessário,50,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0007,2025-07-15,13729290082,257154,RS,Omeprazol,False,10ml,6/6h,30,Tomar após as refeições.
RX0008,2020-08-17,44311574989,901041,SE,Oxicodona,True,1g,6/6h,11,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0009,2020-12-01,49557624407,225591,MA,Codeína,True,50mg,12/12h,8,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0010,2024-05-04,87377086438,402905,MS,Ibuprofeno,False,10ml,12/12h,18,Tomar após as refeições.
RX0011,2022-06-30,99154128666,157949,GO,Azitromicina,False,5ml,8/8h,39,Tomar após as refeições.
RX0012,2021-09-29,74506897768,838812,RS,Morfina,True,1g,Se necessário,20,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0013,2021-08-30,62939832164,257443,AM,Omeprazol,False,5ml,8/8h,81,Tomar após as refeições.
RX0014,2023-04-11,17846500737,762876,RR,Metadona,True,500mg,8/8h,54,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0015,2020-08-12,04195823650,969977,DF,Neosaldina,False,750mg,Se necessário,48,Tomar após as refeições.
RX0016,2022-10-24,04606796482,437496,RN,Omeprazol,False,20mg,Se necessário,28,Tomar após as refeições.
RX0017,2023-05-03,74711420655,922090,DF,Zolpidem,True,10mg,6/6h,25,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0018,2021-05-27,23577755680,659296,PE,Oxicodona,True,20mg,8/8h,19,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0019,2022-04-14,22341315725,451154,AC,Azitromicina,False,500mg,12/12h,88,Tomar após as refeições.
RX0020,2023-01-10,63883834235,176146,ES,Ritalina,True,500mg,Se necessário,36,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0021,2024-01-30,72558352660,327332,TO,Morfina,True,500mg,8/8h,32,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0022,2023-11-08,04233042745,234483,DF,Amoxicilina,False,20mg,24/24h,49,Tomar após as refeições.
RX0023,2023-02-07,96173096324,959361,DF,Neosaldina,False,20mg,12/12h,84,Tomar após as refeições.
RX0024,2024-10-20,93849846896,571446,MS,Neosaldina,False,1g,12/12h,23,Tomar após as refeições.
RX0025,2021-06-01,58143435774,740365,PB,Omeprazol,False,10ml,24/24h,44,Tomar após as refeições.
RX0026,2024-12-26,42562659510,633303,AP,Paracetamol,False,10ml,Se necessário,89,Tomar após as refeições.
RX0027,2020-10-27,02832413490,530149,CE,Zolpidem,True,20mg,24/24h,56,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0028,2024-10-01,86080081057,695587,AM,Paracetamol,False,1g,8/8h,30,Tomar após as refeições.
RX0029,2022-04-20,06703424993,548935,PI,Lorazepam,True,500mg,Se necessário,9,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0030,2021-08-14,37189635950,606968,MG,Clonazepam,True,20mg,24/24h,47,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0031,2020-09-17,25270591606,932883,MG,Paracetamol,False,10ml,12/12h,7,Tomar após as refeições.
RX0032,2025-07-08,10116616498,216435,PI,Loratadina,False,1g,12/12h,87,Tomar após as refeições.
RX0033,2022-10-13,87700752215,154804,PB,Morfina,True,10ml,6/6h,49,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0034,2020-11-19,54827986453,524544,ES,Zolpidem,True,500mg,24/24h,34,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0035,2022-04-27,15108146337,537054,TO,Clonazepam,True,750mg,8/8h,27,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0036,2021-11-10,51981473033,746718,DF,Zolpidem,True,250mg,8/8h,3,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0037,2022-02-19,52365984409,921198,PB,Loratadina,False,50mg,12/12h,5,Tomar após as refeições.
RX0038,2022-09-13,96949330776,725127,MS,Oxicodona,True,20mg,6/6h,52,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0039,2025-04-02,55501736519,606454,AM,Cimegripe,False,5ml,12/12h,3,Tomar após as refeições.
RX0040,2021-12-05,80456303600,538945,SE,Tramadol,True,250mg,6/6h,9,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0041,2024-01-29,49698692932,289614,CE,Zolpidem,True,1g,24/24h,20,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0042,2023-08-20,33578084725,780209,PA,Lorazepam,True,10mg,Se necessário,18,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0043,2025-06-12,34101434503,113396,MA,Ritalina,True,10mg,24/24h,57,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0044,2025-01-21,53858889924,106869,PE,Paracetamol,False,500mg,Se necessário,51,Tomar após as refeições.
RX0045,2024-08-18,09101525394,468701,RN,Paracetamol,False,1g,Se necessário,88,Tomar após as refeições.
RX0046,2025-04-02,25032353268,732142,MT,Codeína,True,500mg,12/12h,50,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0047,2022-10-20,32742987867,724290,AL,Loratadina,False,250mg,8/8h,17,Tomar após as refeições.
RX0048,2024-05-01,49909911686,265441,PE,Azitromicina,False,50mg,Se necessário,35,Tomar após as refeições.
RX0049,2023-09-04,51133694529,807586,MS,Zolpidem,True,250mg,Se necessário,52,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0050,2020-08-09,64496152125,776229,MT,Diazepam,True,250mg,12/12h,46,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0051,2022-12-03,46657151637,497207,PE,Zolpidem,True,750mg,12/12h,40,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0052,2023-08-07,60784686276,566604,PR,Amoxicilina,False,750mg,Se necessário,23,Tomar após as refeições.
RX0053,2022-08-21,76325937020,657563,TO,Loratadina,False,10mg,24/24h,7,Tomar após as refeições.
RX0054,2024-05-11,72254758677,614576,GO,Clonazepam,True,50mg,24/24h,26,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0055,2023-10-11,35361054448,176961,GO,Neosaldina,False,10mg,6/6h,83,Tomar após as refeições.
RX0056,2020-09-11,83785427822,278772,MS,Omeprazol,False,100mg,8/8h,81,Tomar após as refeições.
RX0057,2024-09-19,33186876818,249879,PA,Dorflex,False,5ml,Se necessário,82,Tomar após as refeições.
RX0058,2021-11-18,45824348510,997005,BA,Morfina,True,10mg,8/8h,9,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0059,2023-08-06,123456789AB,684092,AP,Amoxicilina,False,50mg,12/12h,57,Tomar após as refeições.
RX0060,2024-01-01,80468392316,964527,RR,Amoxicilina,False,5ml,8/8h,19,Tomar após as refeições.
RX0061,2023-04-16,70377688894,420902,MA,Cimegripe,False,10ml,6/6h,49,Tomar após as refeições.
RX0062,2022-10-04,39961324174,730543,ES,Metadona,True,20mg,8/8h,28,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0063,2022-02-26,37154779198,865548,MT,Codeína,True,50mg,6/6h,40,Tomar 1 comprimido conforme orientação. Não exceder a dose.
